Rule	0	1	2	3	4
T -> T	0.41711339176792905	0.4178156538714502	0.416658466620383	0.4186935372055371	0.41921778343229943
T -> T T	0.3355897519349536	0.3388859889060679	0.33698941853975395	0.3414111613664872	0.3395895558066667
T -> D T	0.10846732992188404	9.207035917431602e-2	9.437671628620667e-2	9.523457609028431e-2	9.145336234662903e-2
T -> T D	0.13882952637523321	0.15122799804816583	0.15197539855365655	0.14466072533769142	0.14973929841440473
D -> D	0.6987098908264877	0.7035174102776297	0.6985733127442174	0.7094032159540127	0.7086200178789149
D -> D D	0.10123471818409877	8.188699292701027e-2	6.154026586443632e-2	7.301843078012875e-2	8.818103552299318e-2
D -> S D	0.20005539098941355	0.21459559679536017	0.2398864213913463	0.21757835326585856	0.20319894659809204
S -> S	0.8358625210145516	0.8340348008628068	0.8237205420079606	0.807594627837403	0.832023661680363
S -> S S	0.16413747898544837	0.1659651991371933	0.1762794579920393	0.19240537216259695	0.16797633831963701
