Rule	0	1	2	3	4
T -> T	0.39292836454925917	0.3918143802883459	0.3989160004416933	0.3985716292120994	0.4030466080388522
T -> T T	0.3025625815653664	0.29995308545485505	0.30454252468364823	0.30941728743396457	0.3130341212576525
T -> D T	0.17370867384345734	0.1733613533384522	0.1599541715589955	0.16523251237854147	0.17195982614242927
T -> T D	0.1308003800419171	0.13487118091834668	0.13658730331566293	0.12677857097539458	0.11195944456106607
D -> D	0.6299566946453984	0.6211223145933816	0.6211025190909858	0.6162574184626104	0.626371896984274
D -> D D	9.183562527766467e-2	8.575619245599846e-2	9.405801596840914e-2	8.521588906201656e-2	8.985531666293045e-2
D -> S D	0.27820768007693697	0.29312149295061996	0.284839464940605	0.298526692475373	0.28377278635279546
S -> S	0.9251614568830213	0.9473478396235692	0.9416456332906863	0.9447180984259408	0.9621642893030287
S -> S S	7.483854311697873e-2	5.265216037643073e-2	5.835436670931378e-2	5.528190157405913e-2	3.783571069697136e-2
