Rule	0	1	2	3	4
T -> T	0.4078644942835788	0.41328289970406196	0.40870410354567954	0.4119436005238449	0.4187712204084978
T -> T T	0.30599872504245995	0.2997572810365725	0.29819979137106495	0.2978711657036685	0.3029808546499098
T -> D T	0.1552316743974623	0.16572277618806222	0.18026101376311032	0.15537173178272456	0.16767400957005318
T -> T D	0.1309051062764989	0.1212370430713034	0.11283509132014523	0.1348135019897621	0.11057391537153924
D -> D	0.6233017245807817	0.6253368888563653	0.6592110726640223	0.6431038361696341	0.6483760503844281
D -> D D	9.249122590492824e-2	0.11188557269801935	7.543077199551113e-2	8.568892551045199e-2	7.886534386888609e-2
D -> S D	0.28420704951429004	0.26277753844561547	0.2653581553404666	0.271207238319914	0.2727586057466857
S -> S	0.9347580005750789	0.9519471948474868	0.9399495353659783	0.9737396523396717	0.9412390070207418
S -> S S	6.524199942492118e-2	4.8052805152513305e-2	6.005046463402174e-2	2.62603476603282e-2	5.8760992979258166e-2
