Rule	0	1	2	3	4
T -> T	0.4303472649053824	0.43434352461772063	0.4381551844065275	0.42488914483608897	0.42555108217072823
T -> T T	0.30545159799407384	0.32571919565252877	0.32046572912943055	0.3204273462916922	0.31368823609264523
T -> D T	0.12459385800312707	0.10447028304608945	0.11014041704606777	0.11504517677856607	0.11992037293024925
T -> T D	0.1396072790974167	0.1354669966836613	0.13123866941797432	0.13963833209365276	0.14084030880637724
D -> D	0.7112254366141529	0.6991888058328881	0.7143663304480617	0.7239116478874241	0.6995021451504793
D -> D D	9.125126969643599e-2	8.228964007529986e-2	6.466463653388398e-2	8.209930489697462e-2	8.115516072540577e-2
D -> S D	0.19752329368941113	0.21852155409181206	0.22096903301805432	0.19398904721560128	0.21934269412411506
S -> S	0.8277368959861198	0.8513794617491494	0.8112759787382702	0.822537477955415	0.823203621318863
S -> S S	0.17226310401388026	0.14862053825085061	0.1887240212617299	0.17746252204458507	0.17679637868113698
